text,label
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Does anyone have notes for the science class?,ham
Does anyone have notes for the science class?,ham
So tired from work today. Need sleep.,ham
Win a free iPhone now! Click here: www.scam.com,spam
Happy birthday to my best friend!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Can't believe it's already Sunday!,ham
Anyone know a good place for coffee?,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Can't believe it's already Monday!,ham
Just had a great lunch at the park.,ham
Happy birthday to my best friend!,ham
Happy birthday to my best friend!,ham
Can't believe it's already Monday!,ham
Win a free iPhone now! Click here: www.scam.com,spam
Hot singles in your area! Chat now www.scam.com,spam
Just had a great lunch at Burger King.,ham
Congratulations! You've won a lottery of $500. Claim at http://bit.ly/fake,spam
So tired from work today. Need sleep.,ham
Happy birthday to my best friend!,ham
Win a free iPhone now! Click here: www.free-prizes.net,spam
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Hot singles in your area! Chat now www.free-prizes.net,spam
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
Hot singles in your area! Chat now http://bit.ly/fake,spam
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Make money from home! Earn $500/day. Sign up http://bit.ly/fake,spam
Make money from home! Earn $10000/day. Sign up http://bit.ly/fake,spam
Hot singles in your area! Chat now www.free-prizes.net,spam
Make money from home! Earn $1000/day. Sign up http://bit.ly/fake,spam
So tired from work today. Need sleep.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Win a free iPhone now! Click here: www.free-prizes.net,spam
Make money from home! Earn $5000/day. Sign up www.free-prizes.net,spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Congratulations! You've won a lottery of $10000. Claim at www.free-prizes.net,spam
Congratulations! You've won a lottery of $5000. Claim at http://bit.ly/fake,spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Just had a great lunch at downtown.,ham
Does anyone have notes for the science class?,ham
Hot singles in your area! Chat now http://phony.site,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
So tired from work today. Need sleep.,ham
Does anyone have notes for the science class?,ham
Beautiful sunset today!,ham
Does anyone have notes for the math class?,ham
Hot singles in your area! Chat now http://phony.site,spam
Watching the game tonight. Go team!,ham
Hot singles in your area! Chat now http://phony.site,spam
Learning machine learning is fun but hard.,ham
Win a free iPhone now! Click here: www.free-prizes.net,spam
Win a free iPhone now! Click here: www.free-prizes.net,spam
Does anyone have notes for the science class?,ham
So tired from work today. Need sleep.,ham
Listening to my favorite song.,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
So tired from work today. Need sleep.,ham
Win a free iPhone now! Click here: www.scam.com,spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Make money from home! Earn $500/day. Sign up http://bit.ly/fake,spam
Congratulations! You've won a lottery of $1000. Claim at http://bit.ly/fake,spam
Listening to my favorite song.,ham
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Can't believe it's already Monday!,ham
Make money from home! Earn $10000/day. Sign up www.scam.com,spam
Beautiful sunset today!,ham
Can't believe it's already Friday!,ham
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Urgent! Your account has been compromised. Verify at www.scam.com,spam
Congratulations! You've won a lottery of $1000. Claim at www.free-prizes.net,spam
Happy birthday to my best friend!,ham
Hot singles in your area! Chat now www.scam.com,spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Beautiful sunset today!,ham
Make money from home! Earn $500/day. Sign up www.free-prizes.net,spam
Can't believe it's already Monday!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Congratulations! You've won a lottery of $5000. Claim at www.scam.com,spam
Does anyone have notes for the math class?,ham
Watching the game tonight. Go team!,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Congratulations! You've won a lottery of $5000. Claim at www.free-prizes.net,spam
Does anyone have notes for the science class?,ham
Watching the game tonight. Go team!,ham
Beautiful sunset today!,ham
So tired from work today. Need sleep.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
So tired from work today. Need sleep.,ham
So tired from work today. Need sleep.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
Anyone know a good place for coffee?,ham
Can't believe it's already Sunday!,ham
Anyone know a good place for hiking?,ham
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Happy birthday to my best friend!,ham
Make money from home! Earn $500/day. Sign up http://phony.site,spam
Win a free iPhone now! Click here: www.scam.com,spam
So tired from work today. Need sleep.,ham
Beautiful sunset today!,ham
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
Listening to my favorite song.,ham
Does anyone have notes for the history class?,ham
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Can't believe it's already Friday!,ham
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Happy birthday to my best friend!,ham
Just had a great lunch at my house.,ham
Make money from home! Earn $1000/day. Sign up http://bit.ly/fake,spam
Listening to my favorite song.,ham
Beautiful sunset today!,ham
Anyone know a good place for coffee?,ham
Hot singles in your area! Chat now www.free-prizes.net,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Watching the game tonight. Go team!,ham
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Congratulations! You've won a lottery of $10000. Claim at http://bit.ly/fake,spam
Listening to my favorite song.,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Happy birthday to my best friend!,ham
Congratulations! You've won a lottery of $500. Claim at www.free-prizes.net,spam
Listening to my favorite song.,ham
So tired from work today. Need sleep.,ham
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Happy birthday to my best friend!,ham
Congratulations! You've won a lottery of $1000. Claim at www.free-prizes.net,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Does anyone have notes for the history class?,ham
Anyone know a good place for sushi?,ham
Happy birthday to my best friend!,ham
Learning machine learning is fun but hard.,ham
Happy birthday to my best friend!,ham
Beautiful sunset today!,ham
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Watching the game tonight. Go team!,ham
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Make money from home! Earn $1000/day. Sign up www.scam.com,spam
Can't believe it's already Sunday!,ham
Congratulations! You've won a lottery of $10000. Claim at http://phony.site,spam
Watching the game tonight. Go team!,ham
Win a free iPhone now! Click here: www.scam.com,spam
So tired from work today. Need sleep.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Hot singles in your area! Chat now www.free-prizes.net,spam
Congratulations! You've won a lottery of $500. Claim at http://phony.site,spam
Watching the game tonight. Go team!,ham
Congratulations! You've won a lottery of $1000. Claim at www.scam.com,spam
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Make money from home! Earn $1000/day. Sign up www.scam.com,spam
Anyone know a good place for hiking?,ham
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
Make money from home! Earn $1000/day. Sign up http://bit.ly/fake,spam
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Hot singles in your area! Chat now www.free-prizes.net,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
So tired from work today. Need sleep.,ham
Watching the game tonight. Go team!,ham
Just had a great lunch at the park.,ham
Learning machine learning is fun but hard.,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Watching the game tonight. Go team!,ham
Hot singles in your area! Chat now www.scam.com,spam
Can't believe it's already Sunday!,ham
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Listening to my favorite song.,ham
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Happy birthday to my best friend!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Just had a great lunch at the park.,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Watching the game tonight. Go team!,ham
Can't believe it's already Monday!,ham
Does anyone have notes for the science class?,ham
Learning machine learning is fun but hard.,ham
Just had a great lunch at Burger King.,ham
Just had a great lunch at the park.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Win a free iPhone now! Click here: www.scam.com,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Congratulations! You've won a lottery of $5000. Claim at www.scam.com,spam
Listening to my favorite song.,ham
Watching the game tonight. Go team!,ham
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
So tired from work today. Need sleep.,ham
Make money from home! Earn $10000/day. Sign up http://bit.ly/fake,spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Just had a great lunch at the park.,ham
Hot singles in your area! Chat now www.scam.com,spam
Make money from home! Earn $5000/day. Sign up www.scam.com,spam
Learning machine learning is fun but hard.,ham
Just had a great lunch at downtown.,ham
Learning machine learning is fun but hard.,ham
Hot singles in your area! Chat now www.free-prizes.net,spam
Anyone know a good place for coffee?,ham
Hot singles in your area! Chat now www.free-prizes.net,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Learning machine learning is fun but hard.,ham
Watching the game tonight. Go team!,ham
Anyone know a good place for hiking?,ham
So tired from work today. Need sleep.,ham
So tired from work today. Need sleep.,ham
Hot singles in your area! Chat now http://bit.ly/fake,spam
Does anyone have notes for the science class?,ham
Anyone know a good place for coffee?,ham
Does anyone have notes for the science class?,ham
Win a free iPhone now! Click here: www.scam.com,spam
Listening to my favorite song.,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
Learning machine learning is fun but hard.,ham
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
Beautiful sunset today!,ham
Win a free iPhone now! Click here: http://phony.site,spam
Listening to my favorite song.,ham
Make money from home! Earn $500/day. Sign up http://phony.site,spam
Win a free iPhone now! Click here: http://phony.site,spam
Anyone know a good place for hiking?,ham
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Urgent! Your account has been compromised. Verify at www.scam.com,spam
Listening to my favorite song.,ham
Listening to my favorite song.,ham
Congratulations! You've won a lottery of $5000. Claim at http://bit.ly/fake,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Just had a great lunch at downtown.,ham
So tired from work today. Need sleep.,ham
Beautiful sunset today!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Hot singles in your area! Chat now www.scam.com,spam
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Just had a great lunch at Burger King.,ham
Make money from home! Earn $1000/day. Sign up www.free-prizes.net,spam
Watching the game tonight. Go team!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Does anyone have notes for the math class?,ham
Can't believe it's already Monday!,ham
Beautiful sunset today!,ham
Make money from home! Earn $5000/day. Sign up www.scam.com,spam
Win a free iPhone now! Click here: http://phony.site,spam
Watching the game tonight. Go team!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Happy birthday to my best friend!,ham
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Win a free iPhone now! Click here: http://phony.site,spam
Does anyone have notes for the science class?,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
Listening to my favorite song.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Listening to my favorite song.,ham
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
Can't believe it's already Friday!,ham
Just had a great lunch at downtown.,ham
Can't believe it's already Friday!,ham
Happy birthday to my best friend!,ham
Congratulations! You've won a lottery of $1000. Claim at www.scam.com,spam
Anyone know a good place for coffee?,ham
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Just had a great lunch at downtown.,ham
Watching the game tonight. Go team!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Just had a great lunch at my house.,ham
So tired from work today. Need sleep.,ham
So tired from work today. Need sleep.,ham
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Watching the game tonight. Go team!,ham
Win a free iPhone now! Click here: www.free-prizes.net,spam
Beautiful sunset today!,ham
Just had a great lunch at downtown.,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Congratulations! You've won a lottery of $10000. Claim at www.free-prizes.net,spam
Watching the game tonight. Go team!,ham
Anyone know a good place for coffee?,ham
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Just had a great lunch at downtown.,ham
Listening to my favorite song.,ham
Congratulations! You've won a lottery of $10000. Claim at http://phony.site,spam
Beautiful sunset today!,ham
Win a free iPhone now! Click here: www.scam.com,spam
Hot singles in your area! Chat now www.free-prizes.net,spam
Watching the game tonight. Go team!,ham
Beautiful sunset today!,ham
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Does anyone have notes for the math class?,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Beautiful sunset today!,ham
Anyone know a good place for hiking?,ham
Congratulations! You've won a lottery of $10000. Claim at http://bit.ly/fake,spam
Make money from home! Earn $5000/day. Sign up www.scam.com,spam
So tired from work today. Need sleep.,ham
Can't believe it's already Friday!,ham
Can't believe it's already Monday!,ham
Learning machine learning is fun but hard.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
Just had a great lunch at downtown.,ham
Win a free iPhone now! Click here: http://bit.ly/fake,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
Congratulations! You've won a lottery of $5000. Claim at www.scam.com,spam
Make money from home! Earn $5000/day. Sign up www.free-prizes.net,spam
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Can't believe it's already Monday!,ham
Happy birthday to my best friend!,ham
Just had a great lunch at Burger King.,ham
Hot singles in your area! Chat now http://bit.ly/fake,spam
Congratulations! You've won a lottery of $5000. Claim at www.scam.com,spam
Congratulations! You've won a lottery of $10000. Claim at http://phony.site,spam
Just had a great lunch at my house.,ham
Happy birthday to my best friend!,ham
Make money from home! Earn $1000/day. Sign up http://bit.ly/fake,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Does anyone have notes for the math class?,ham
Can't believe it's already Friday!,ham
Just had a great lunch at my house.,ham
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Hot singles in your area! Chat now http://phony.site,spam
Beautiful sunset today!,ham
Congratulations! You've won a lottery of $500. Claim at www.scam.com,spam
Make money from home! Earn $10000/day. Sign up www.free-prizes.net,spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Can't believe it's already Friday!,ham
Just had a great lunch at Burger King.,ham
Listening to my favorite song.,ham
Beautiful sunset today!,ham
Listening to my favorite song.,ham
Learning machine learning is fun but hard.,ham
Congratulations! You've won a lottery of $10000. Claim at http://bit.ly/fake,spam
Learning machine learning is fun but hard.,ham
Watching the game tonight. Go team!,ham
Beautiful sunset today!,ham
Beautiful sunset today!,ham
Win a free iPhone now! Click here: http://bit.ly/fake,spam
Beautiful sunset today!,ham
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Happy birthday to my best friend!,ham
"Cheap meds! Viagra, Cialis. Visit http://phony.site",spam
Beautiful sunset today!,ham
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Listening to my favorite song.,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Happy birthday to my best friend!,ham
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Just had a great lunch at downtown.,ham
Make money from home! Earn $5000/day. Sign up www.scam.com,spam
So tired from work today. Need sleep.,ham
Congratulations! You've won a lottery of $10000. Claim at www.free-prizes.net,spam
Learning machine learning is fun but hard.,ham
Listening to my favorite song.,ham
Can't believe it's already Sunday!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.scam.com",spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Anyone know a good place for sushi?,ham
Watching the game tonight. Go team!,ham
Urgent! Your account has been compromised. Verify at http://phony.site,spam
Congratulations! You've won a lottery of $10000. Claim at www.free-prizes.net,spam
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Watching the game tonight. Go team!,ham
Happy birthday to my best friend!,ham
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Watching the game tonight. Go team!,ham
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
So tired from work today. Need sleep.,ham
So tired from work today. Need sleep.,ham
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Congratulations! You've won a lottery of $1000. Claim at http://phony.site,spam
Anyone know a good place for hiking?,ham
Learning machine learning is fun but hard.,ham
Just had a great lunch at downtown.,ham
Make money from home! Earn $1000/day. Sign up http://phony.site,spam
Hot singles in your area! Chat now www.scam.com,spam
Watching the game tonight. Go team!,ham
Happy birthday to my best friend!,ham
Anyone know a good place for sushi?,ham
Watching the game tonight. Go team!,ham
Happy birthday to my best friend!,ham
Hot singles in your area! Chat now http://phony.site,spam
Listening to my favorite song.,ham
Listening to my favorite song.,ham
Make money from home! Earn $500/day. Sign up www.free-prizes.net,spam
Win a free iPhone now! Click here: www.scam.com,spam
Watching the game tonight. Go team!,ham
Congratulations! You've won a lottery of $5000. Claim at www.scam.com,spam
Does anyone have notes for the history class?,ham
Does anyone have notes for the science class?,ham
Make money from home! Earn $500/day. Sign up http://phony.site,spam
Can't believe it's already Friday!,ham
Can't believe it's already Monday!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
Congratulations! You've won a lottery of $10000. Claim at www.scam.com,spam
So tired from work today. Need sleep.,ham
Win a free iPhone now! Click here: http://phony.site,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
Learning machine learning is fun but hard.,ham
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
Make money from home! Earn $1000/day. Sign up www.scam.com,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
Does anyone have notes for the history class?,ham
Can't believe it's already Friday!,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
Congratulations! You've won a lottery of $1000. Claim at www.free-prizes.net,spam
Congratulations! You've won a lottery of $5000. Claim at http://bit.ly/fake,spam
Watching the game tonight. Go team!,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://bit.ly/fake",spam
So tired from work today. Need sleep.,ham
Happy birthday to my best friend!,ham
Anyone know a good place for hiking?,ham
Beautiful sunset today!,ham
Urgent! Your account has been compromised. Verify at www.free-prizes.net,spam
Anyone know a good place for coffee?,ham
"Cheap meds! Viagra, Cialis. Visit www.free-prizes.net",spam
Learning machine learning is fun but hard.,ham
Just had a great lunch at my house.,ham
Congratulations! You've won a lottery of $10000. Claim at http://phony.site,spam
Win a free iPhone now! Click here: www.scam.com,spam
Make money from home! Earn $10000/day. Sign up http://bit.ly/fake,spam
So tired from work today. Need sleep.,ham
Win a free iPhone now! Click here: www.scam.com,spam
Learning machine learning is fun but hard.,ham
Learning machine learning is fun but hard.,ham
So tired from work today. Need sleep.,ham
Beautiful sunset today!,ham
Urgent! Your account has been compromised. Verify at www.scam.com,spam
Can't believe it's already Friday!,ham
So tired from work today. Need sleep.,ham
Does anyone have notes for the science class?,ham
Just had a great lunch at the park.,ham
Listening to my favorite song.,ham
Can't believe it's already Friday!,ham
Does anyone have notes for the history class?,ham
Win a free iPhone now! Click here: http://phony.site,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Make money from home! Earn $500/day. Sign up www.free-prizes.net,spam
Make money from home! Earn $1000/day. Sign up www.scam.com,spam
Congratulations! You've won a lottery of $10000. Claim at http://phony.site,spam
Hot singles in your area! Chat now www.scam.com,spam
Can't believe it's already Sunday!,ham
Happy birthday to my best friend!,ham
Anyone know a good place for sushi?,ham
Listening to my favorite song.,ham
Win a free iPhone now! Click here: http://phony.site,spam
Does anyone have notes for the history class?,ham
Make money from home! Earn $1000/day. Sign up www.free-prizes.net,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Make money from home! Earn $1000/day. Sign up http://bit.ly/fake,spam
Make money from home! Earn $5000/day. Sign up http://phony.site,spam
Just had a great lunch at Burger King.,ham
Just had a great lunch at downtown.,ham
Anyone know a good place for sushi?,ham
Anyone know a good place for sushi?,ham
Listening to my favorite song.,ham
Beautiful sunset today!,ham
Listening to my favorite song.,ham
Watching the game tonight. Go team!,ham
Watching the game tonight. Go team!,ham
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Hot singles in your area! Chat now http://phony.site,spam
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Make money from home! Earn $500/day. Sign up www.scam.com,spam
Anyone know a good place for sushi?,ham
So tired from work today. Need sleep.,ham
Anyone know a good place for sushi?,ham
Make money from home! Earn $5000/day. Sign up http://bit.ly/fake,spam
Listening to my favorite song.,ham
Watching the game tonight. Go team!,ham
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
Learning machine learning is fun but hard.,ham
Win a free iPhone now! Click here: http://phony.site,spam
"Cheap meds! Viagra, Cialis. Visit http://bit.ly/fake",spam
Urgent! Your account has been compromised. Verify at http://bit.ly/fake,spam
"Cheap meds! Viagra, Cialis. Visit www.scam.com",spam
Just had a great lunch at downtown.,ham
Make money from home! Earn $500/day. Sign up www.scam.com,spam
"Free crypto giveaway! Bitcoin, Ethereum. Join http://phony.site",spam
"Free crypto giveaway! Bitcoin, Ethereum. Join www.free-prizes.net",spam
Can't believe it's already Friday!,ham
Win a free iPhone now! Click here: http://phony.site,spam
